dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,112420.0,40584.8359375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,112420.0,40584.8359375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Female,urban,112420.0,40584.8359375,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,31-50,Female,urban,65084.0,79370.734375,Wood and mud,Wood and mud,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Male,urban,124190.0,57230.4140625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,18-30,Female,urban,124190.0,57230.4140625,Wood and mud,Corrugated iron sheet,Plastic tiles
7.7,162.3,82.9,0.4,0.0,0-17,Male,urban,124190.0,57230.4140625,Wood and mud,Corrugated iron sheet,Plastic tiles
9.3,169.8,75.7,8.5,0.0,31-50,Female,rural,87668.7578125,54116.515625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,87668.7578125,54116.515625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Female,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,110808.0,15584.810546875,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Female,rural,80850.1015625,27222.255859375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Male,rural,80850.1015625,27222.255859375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Female,rural,80850.1015625,27222.255859375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,80850.1015625,27222.255859375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,72760.0,15886.462890625,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,51-65,Male,rural,76773.140625,16910.3828125,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,51-65,Female,rural,76773.140625,16910.3828125,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,76773.140625,16910.3828125,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,76773.140625,16910.3828125,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,76773.140625,16910.3828125,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,67383.3671875,36621.3984375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,67383.3671875,36621.3984375,Wood and mud,Wood and mud,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Male,rural,70895.3671875,20140.728515625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Female,rural,70895.3671875,20140.728515625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,70895.3671875,20140.728515625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,65+,Male,rural,70895.3671875,20140.728515625,Wood and thatch/Wood only,Thatch,Mud
